data,sample,IS,,,Metab1,,,Metab2,,,Metab3,,,Metab4,,,Metab5,,,Metab6,,,Metab7,,,Metab8,,,Metab9,,,Metab10,,,Metab11,,,Metab12,,,Metab13,,,Metab14,,,Metab15,,
,,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR
170710-07,1U6,20.421,754351.43,62.8,32.087,55658.05,14.5,22.989,47680.44,4.2,36.395,42652.5,2.8,20.802,752898.2,31.3,32.17,30924.03,6.3,20.934,62877.03,25.8,20.338,1955155.7,17,19.841,11392983.45,774.6,23.089,1001953.88,Infinity,18.763,24412010.7,679.9,19.244,235896.55,164,19.426,316014.32,46.4,21.581,925351.86,118.7,20.918,3103696.35,1040.6,17.156,209300.4,79.2
,,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR
170710-08,2U2,17.537,814245.2,66.2,28.64,44628.93,12,19.906,37197.83,3.5,32.782,21978.79,3,17.885,510396.75,50.9,28.706,20354.84,6.6,18.034,40902.81,29.5,17.454,1074058.74,4.9,17.006,13035072.44,970.1,19.989,673895.86,Infinity,16.012,11843021.8,574.4,16.426,56981.13,40.5,16.609,1252362.6,171.6,18.597,1156636.39,128.2,18.001,4365754.5,806.7,14.587,535655.09,178.9
170710-08,2U2,17.984,499235.11,41.6,29.203,26605.79,7.2,20.404,31775.35,2.6,33.362,18340.35,2.2,18.332,323456.48,31.2,29.269,20071.14,5.3,18.448,28591.72,19.6,17.901,672834.29,3,17.421,7155695.87,571.6,20.47,472741.69,Infinity,16.426,6856321.87,343.8,16.874,25845.46,17.8,17.056,595667.82,88.4,19.061,870727.98,94.9,18.448,2650629.19,485.7,14.985,331589.7,113.5
170710-08,QC,18.448,454516.62,37.4,29.783,46601.3,11.5,20.884,31156.83,2.4,33.926,34760.3,4.4,18.796,443763.19,43.8,29.816,29632.04,8.6,18.912,18494.2,9.1,18.365,966022.14,4.5,17.852,4841575.34,377.2,20.984,1697476.85,Infinity,16.857,6013471.98,286.5,17.321,215731.32,156.4,17.504,698281.57,105.2,19.542,8739277.15,1024.4,18.912,2931630.66,533.6,15.399,251038.64,85.3
170710-08,2U4,18.896,838242.81,68.6,30.38,30207.75,7.6,21.365,23541.11,2.3,34.572,18563.14,2.3,19.26,282741.63,27.1,30.396,16782.7,5.8,19.393,24213.08,16.1,18.813,612794.76,2.8,18.299,2818754.67,229.2,21.481,2431972.83,Infinity,17.272,2621912.14,127.7,17.785,83548.96,61.4,17.934,301428.78,42.8,20.022,11503947.04,1361.8,19.376,2864269.08,515.9,15.813,114477.93,38.7
170710-08,2U4,19.376,842074.15,70.2,30.993,31925.57,7.7,21.895,32110.12,2.3,35.169,22755.75,2.2,19.724,277782.55,26,31.042,10838.19,4.2,19.857,26395.89,18,19.277,589293.57,2.7,18.746,2737842.81,225.2,21.994,2823592.57,Infinity,17.719,2310869.79,115.1,18.2,52236.82,37.1,18.382,309498.39,44.3,20.52,11917409.72,1394.9,19.857,2899467.96,533.7,16.228,108925.54,37.4
170710-08,3U1,19.84,528384.69,43.2,31.573,22582.37,5,22.392,39277.08,3.3,35.749,23469.34,2.7,20.205,214178.31,19.4,31.54,14170.89,3.3,20.337,17807.76,11.8,19.741,355193.02,1.6,19.21,3040584.5,252.7,22.492,1343866.1,Infinity,18.15,2727358.01,138.9,18.664,39200.42,25.2,18.829,137174.42,21.2,21,2867312.01,325.9,20.337,1261072.78,224.7,16.642,59617.04,20.8
170710-08,3U1,20.304,873095.18,73.4,32.12,38180.7,8.6,22.889,47554.56,4.9,36.312,28237.94,3.8,20.669,259859.02,27,32.153,21662.1,5.3,NA,NA,NA,20.205,486064.92,2.3,19.691,5261531.66,431.6,22.989,1934914.01,Infinity,18.597,3969828.03,202.8,NA,NA,NA,19.293,148292.05,20.9,21.481,3312853.75,387.6,20.801,1762701.32,317.7,17.056,58951.75,20.2
,,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR
170710-09,QC,17.825,414353.17,27.8,29.243,48566.78,13.3,20.261,43416.38,3.7,33.402,37861.45,5,18.173,405547.08,39.8,29.325,35605.76,6,18.322,24669.16,14.5,17.726,862432.12,57.8,17.212,4348729.99,252.7,20.36,1953370.05,286.6,16.218,5903140.34,145.6,16.698,294174.75,348.4,16.831,778879.67,109.1,18.919,9629690.67,744.6,18.289,2672289.1,285.7,14.776,251071.15,79.5
170710-09,3U2,18.289,775152.71,51.5,29.789,52047.59,13.2,20.791,101015.05,9.5,33.999,53874.81,7,18.637,397529.37,37,29.856,33133.67,6,18.786,27213.6,13.8,18.206,806640.58,52.8,17.692,6492574.25,368.8,20.874,1303689.9,186.3,16.682,13220825.61,318.2,17.112,14974.25,17.9,17.311,453590.38,61.6,19.416,4937780.31,362,18.786,1933607.67,197.3,15.19,99533.46,29.1
170710-09,3U2,18.786,469314.75,32.2,30.386,27196.06,9.5,21.305,66689.86,6.4,34.645,30282.35,4.3,19.134,278989.92,26.3,30.419,18373.48,3.2,19.283,26178.08,13.4,18.687,478324.62,29.8,18.156,3675683.34,214.8,21.388,945968.15,132.3,17.129,7561684.68,189.5,17.61,21065.94,29.7,17.775,261901.62,38.4,19.913,3313948.72,240.3,19.267,1272261.28,128.1,15.638,72777.7,20.1
170710-09,3U4,19.283,722456.32,50.3,30.999,76126.93,19.3,21.819,66613,5.8,35.175,53189.65,5.9,19.648,532063.96,53.5,31.032,87081.08,15.3,19.78,60527.42,28.8,19.184,884835.29,58.4,18.687,14063548.45,751.2,21.902,1794059.62,265.7,17.626,19823861.09,465.2,18.107,14614.59,21.6,18.256,476576.3,61.5,20.443,28432808.19,2205.5,19.78,5838316.26,638.2,16.068,97436.66,29.2
170710-09,3U4,19.747,772508.76,53,31.546,86516.05,21.1,22.316,59032.32,5.1,35.805,62313.74,8.7,20.128,531496.76,53.4,31.596,79812.3,14.5,20.261,54508.35,26.2,19.664,992142.31,66.5,19.167,14119467.96,753.3,22.415,1790294.47,270.2,18.09,20294019.09,474.3,18.488,15506.73,22.2,18.736,348098.88,49.4,20.924,29261719.77,2243.4,20.261,5987101.39,644.7,16.516,106533.08,30.6
170710-09,3U5,20.195,475078.71,32.3,32.109,31805.57,7.1,22.813,55075.24,4.6,36.385,32426.81,5.2,20.559,243781.72,22.4,32.259,38259.81,6.6,20.675,18292.82,7.4,20.112,367279.88,21.9,19.548,4055784.35,221.8,22.896,896918.97,122.2,18.488,6132052.81,143.3,18.952,11425.6,13,19.167,183315.95,18.6,21.388,9392227.95,699,20.708,2008358.22,189.4,16.914,52833.29,17.9
170710-09,3U5,20.659,848381.96,56.5,32.772,44929.81,11.5,23.294,66362.43,5.5,37.015,53365.09,6.7,21.04,283521.26,28.4,32.756,53068.4,10.6,21.189,29754.91,14.1,20.559,480896.02,32.3,20.029,6021642.81,347.2,23.393,1160737.79,173.3,18.935,8758035.91,219.5,19.383,17664.86,23.7,19.598,233339.02,33.1,21.868,15100059.68,1172,21.172,3009701.13,306.7,17.328,67353.16,21.2
,,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR
170710-10,3U6,17.509,789658.48,90.7,28.628,23827.99,9.4,NA,NA,NA,32.771,27369.54,2.9,17.841,215347.77,27.3,28.678,35813.52,8.7,17.99,22958.96,34,17.426,389438.82,NA,16.946,4896368.47,288.9,19.978,663790.51,Infinity,15.968,7290089.73,157.9,16.449,13340.01,18.8,16.598,356617.98,76.1,18.586,16875624.35,1669.1,17.973,2742251.82,424.1,14.593,79785.99,47.8
170710-10,3U6,17.973,500704,57.7,29.225,21864.78,7.5,20.376,30370.52,2,33.351,25875.59,2.6,18.305,190554.94,21.8,29.258,20999.37,3.8,18.437,21648.54,30.6,17.89,258690.05,17.4,17.393,2873344.69,172.8,20.492,545186.1,Infinity,16.399,4633891.23,99.5,16.846,8860.49,12.6,17.045,187176.54,40.1,19.067,10056116.59,1000.6,18.437,1738907.52,271.2,14.974,57386.48,35.6
170710-10,3U7,18.421,831366.36,100.9,29.739,17288.16,5,20.857,29040.87,2,33.898,21048.97,2.2,18.769,182715.31,21.1,29.838,18892.96,3.8,18.901,5454.89,8.7,18.338,226930.67,15.6,17.824,2765852.32,166.8,20.973,484488.19,Infinity,16.813,3692629.73,78.8,17.277,16795.29,22.4,17.476,165967.05,34.4,19.531,8863451.42,889.8,18.901,1698133.11,269.2,15.371,58134.51,32.5
