data,sample,IS,,,Metab1,,,Metab2,,,Metab3,,,Metab4,,,Metab5,,,Metab6,,,Metab7,,,Metab8,,,Metab9,,,Metab10,,,Metab11,,,Metab12,,,Metab13,,,Metab14,,,Metab15,,
,,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR
170710-13,5U2,18.147,908253.58,58,29.731,81405.17,15.5,20.617,45339.23,3,33.973,116795.75,10.7,18.495,501674.4,20.6,29.797,61927.33,9.6,18.661,33718.94,11.3,18.065,1009172.88,41.3,17.534,5260180.51,146.8,20.733,8300063.5,543.1,16.523,3358065.62,68.4,16.938,57340.32,16.6,17.137,1642256.48,148.9,19.274,23141169.92,175,18.628,5521585.8,254.9,15.049,392786.1,70.1
170710-13,5U2,18.628,527131.14,33.7,30.327,61716.24,12.9,21.147,40055.72,2.4,34.603,60781.07,5.4,18.993,340943.76,14.3,30.361,38037.56,7.2,19.109,25347.36,7.3,18.529,646070.34,26.3,17.982,3033059.85,88.8,21.263,4675319,298,16.987,2211719.98,49.1,17.485,45384.39,11.6,17.601,887937.59,83.6,19.771,14177197.89,102,19.125,3138956.14,145.1,15.48,209237.36,37.7
170710-13,5U4,19.109,922748.44,59.2,30.908,100800.54,17.3,21.677,76363.89,4.1,35.199,102941.33,10.7,19.49,526954.31,22.4,30.974,54067.86,10.6,19.639,31260.1,10.3,19.026,1246263.21,52.6,18.462,4559054.76,132.2,21.777,3121231.33,182.7,17.451,3046107.27,64.4,17.899,45710.44,10,18.081,1569988.55,143.6,20.285,27253265.65,201.3,19.622,5526900.14,263.1,15.927,697341.59,127.2
170710-13,5U4,19.606,1027498.42,65.7,31.504,89838.16,14.7,22.191,66877.85,4.6,35.813,99009.11,10.2,19.987,699276.12,30.9,31.604,56847.81,10.1,20.119,36657.33,7.8,19.506,1345226.24,58.1,18.943,4686188.24,134.8,22.29,3100582.37,186.2,17.899,3273270.43,69.2,18.379,64555.06,14.7,18.545,1592181.92,147.3,20.782,27007359.69,205.9,20.119,7208851.88,356,16.358,719416.41,131.4
170710-13,5U8,20.053,744545.99,50.1,32.084,34696.15,5.4,22.688,41629.97,2.4,36.442,38258.13,4.4,20.434,323217.73,13.1,32.184,23689.07,5.2,20.583,16435.7,4.3,19.97,729008.71,31,19.39,2327142.85,71.1,22.787,1886243.22,114.2,18.313,2582326.6,60.7,18.777,28555.1,6.5,18.993,449948.56,36.8,21.246,11300272.3,87.2,20.567,2253406.53,104.3,16.755,214690.78,36.1
170710-13,5U8,20.517,1169805.11,78.9,32.648,41128.87,7.5,23.185,49871.3,3.6,36.989,46688.8,4.7,20.898,359052.9,15.8,32.73,25220.86,4.7,21.047,27000.64,8.3,20.418,985569.78,41.4,19.854,3732808.49,111.7,23.285,2634060.55,168.4,18.761,3573032.79,83.9,19.258,71143.68,16.5,19.44,440967.06,38.3,21.727,16011563.3,124.8,21.047,2844554.97,134.5,17.17,256338.22,46.5
170710-13,QC,20.981,659700.3,44.7,33.227,71480.15,12.6,23.649,48046.7,3,37.586,58203.38,6.4,21.379,565423.59,25.9,33.261,51567.16,9.4,21.495,43180.87,9,20.882,1564325.92,61.8,20.302,5809627.95,171.1,23.765,2929809.38,191.7,19.208,6124583.16,146.4,19.722,254973.32,60.1,19.887,856260.18,74.9,22.207,15774984.87,124.3,21.511,4102858.92,187.9,17.567,280015.23,51.3
,,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR
170710-14,6U1,18.319,1037181.52,77.4,30.151,25984.15,4,20.871,53635.84,2.3,34.543,30562.89,3.5,18.684,348510.96,22.9,30.234,27034.18,3.3,18.783,24109.91,4.9,18.22,785336.16,33.6,17.673,6736120.29,207,20.971,5114539.41,132.9,16.646,7373155.93,190.7,17.11,325977.69,69,17.259,226781.92,15.2,19.446,2674445.58,96.8,18.8,478937.55,41.7,15.154,171353.19,24.2
170710-14,6U1,18.8,626669.05,47.1,30.748,27064.01,3.7,21.451,30098.89,1.7,35.272,16190.09,1.7,19.165,241782.88,15.9,30.847,14427.14,1.8,19.33,17724.46,3.6,18.701,499740.99,20.4,18.137,3508918.93,109.1,21.485,2888696.73,76.3,17.11,3935594.44,102.1,17.557,125162.91,29.3,17.723,122324.44,8.5,19.977,2299012.69,83.9,19.297,413707.78,35.7,15.569,111190.51,15.1
170710-14,QC,19.297,618029.01,46.5,31.361,64370.93,11.3,21.915,51360.8,3.2,35.769,64107.01,6.5,19.678,548039.9,37.6,31.427,48610.26,5.8,19.811,30547.09,8.5,19.198,1300992.01,56.1,18.634,5889135.94,174.4,22.015,2730758.09,71.6,17.59,8293376.32,213.1,18.071,299986.19,66.1,18.22,925495.46,64.9,20.49,14482826.78,573.4,19.811,3557538.98,328.3,16.016,337754.27,47.4
170710-14,6U5,19.794,1155205.46,82.2,31.958,143168.81,22.2,22.446,74776.58,3.9,36.366,67553.04,6.9,20.225,568709.47,32.8,31.991,116965.84,16.7,20.358,30721.33,8.5,19.711,1263722.04,52.8,19.131,5261508.55,155.6,22.545,1483016.8,34.4,18.087,3307136.85,61.5,NA,NA,NA,18.717,2331931.1,162.8,21.021,19169567.52,762.8,20.358,6965557.13,679,16.48,1614817.67,221.2
170710-14,6U5,20.308,1159921.93,86.7,32.554,150874.93,23.4,22.959,67963.38,4.5,36.962,66455.14,7.2,20.739,578701.5,32.3,32.587,130383.04,17,20.871,36112.53,10.3,20.209,1256632.43,54.1,19.629,5264622.73,157.5,23.075,1434766.25,32.6,18.568,2978206.22,54.7,NA,NA,NA,19.214,2222220.9,158.7,21.518,19238301.63,758.5,20.871,7296614.74,712.3,16.944,1679866.34,232.7
170710-14,7U1,20.772,720853.37,54.4,33.084,61221.45,9.2,23.473,44408.28,3.5,37.542,48531.86,5.4,21.17,479727.54,33.6,33.151,37859.25,4.5,21.335,36331.74,9.6,20.689,1120369.56,48.3,20.093,4546777.61,140.9,23.573,3034864.51,79.7,18.982,2972546.69,77.3,19.529,343195.43,74.1,19.662,555340,35.3,21.998,15162195.84,600.7,21.302,2796666.46,260.1,17.375,351240.07,45.3
170710-14,7U1,21.236,1070255.17,80.1,33.664,73483.59,13,23.97,64761.75,3.9,38.122,78974.28,8.1,21.65,708472.66,50.6,33.714,59214.43,7.6,21.799,94076.53,26.7,21.153,1747900.7,74.3,20.573,8356049.64,257.1,24.086,5128053.02,136.5,19.43,3772361.19,99.6,19.993,721268.85,150.4,20.126,505642.46,34.7,22.495,25397209.12,1007.9,21.783,3962904.06,375.5,17.806,318205.09,43.5
,,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR
170710-15,7U5,18.762,953075.58,53.4,30.942,97469.24,11.7,21.446,51369.22,2.5,35.3,65425.67,6.1,19.176,403654.87,26.5,30.991,61783.13,12.5,19.325,50227.98,14.8,18.662,1117061.22,43.4,18.066,2392718.18,53.6,21.546,638467.09,1.6,17.055,3388044.34,29.5,NA,NA,NA,17.652,2740559.42,163.9,19.988,30537941.37,815.1,19.309,6848306.9,434,15.497,1282215.69,113.6
170710-15,7U5,19.276,604851.85,35.2,31.538,59205.7,8,21.977,38427.49,2.4,35.83,29567.19,2.3,19.657,260804.29,17.2,31.621,35439.43,6.9,19.856,37356.4,10.9,19.176,691518.94,26.9,18.563,1320843.65,32,22.076,634044.4,1.6,17.519,2371314.11,22.8,18.513,279213.68,115.2,18.132,1245980.33,74.4,20.502,18169586.16,495,19.806,3839004.19,237.7,15.945,742055.51,65
170710-15,8U2,19.806,1022471.79,56.9,32.102,68026.48,8.2,22.507,58859.22,4.2,36.592,32246.58,2.3,20.204,572597.74,39.2,32.185,42911.88,8.8,20.386,52984.42,11.3,19.69,1036620.4,39.1,19.11,11048540.86,228.9,22.623,4551802.54,12.5,18.016,6729196.94,56.3,18.977,65306.14,26.6,18.629,662842.39,33.8,21.049,5132192.82,141,20.353,2984077.54,162.6,16.392,248483.33,18.7
170710-15,8U2,20.336,1184149.19,63.8,32.632,76031.05,10,23.037,65956.74,4,37.206,29227.19,2.7,20.75,748191.38,54.8,32.731,48612.41,9.3,20.9,70851.92,15.9,20.22,1166988.62,43.7,19.624,12695725.86,256.2,23.17,5423588.45,15,18.513,7917894.9,66.4,19.474,34905.3,14.8,19.176,581918.58,33,21.579,5677441.83,158.3,20.883,3230572.76,185,16.856,246157.77,18.7
170710-15,QC,20.833,680869.91,40.6,33.278,77069.38,10.3,23.551,54755.66,3.4,37.802,64000.01,5.6,21.231,597097.14,46,33.344,50453.7,10.2,21.38,46944.26,13.1,20.734,1412368.47,60.3,20.121,7755769.19,166.2,23.667,3282079.89,8.7,18.977,8316292.77,84.1,20.021,216378.74,91.7,19.657,522857.67,35.9,22.059,14961542.13,415.8,21.363,4117982.96,272.4,17.32,385159.48,34.6
170710-15,8U3,21.314,712719.85,43.7,33.941,76972.92,8.7,24.065,57143.99,4.5,38.399,41591.78,3.1,21.712,761018.33,56.7,34.024,50126.93,8.3,21.894,59628.94,17,21.214,1241900.88,52.9,20.618,9016052.36,199.4,24.181,5003223.3,13.9,19.491,20073880.92,178.8,20.552,660118.39,268.3,20.137,468034.18,29.8,22.557,6800250.51,192.9,21.861,5209057.15,322.6,17.751,193355.02,16.1
170710-15,8U3,21.811,1160838.07,69,34.422,109394.53,12.7,24.562,68567.67,5,39.028,49253.9,3.5,22.242,1125611.66,87.6,34.488,80214.58,15.5,22.391,71626.69,16.1,21.695,2193530.96,91,21.115,15533775.61,316.8,24.694,8905076.59,25.9,20.021,35614100.15,260.6,NA,NA,NA,20.651,855144.83,55.7,23.07,8511331.29,248.1,22.374,9390161.48,596.3,18.215,185543.47,16.1
,,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR
170710-19,10U1,18.021,816078.71,57.2,29.72,14066.34,2.5,19.927,13490.65,0.9,33.929,15553.41,1.4,18.369,194690.43,18.2,NA,NA,NA,18.518,17452.83,7.9,17.938,304718.13,10.4,17.408,2630750.78,103.8,20.623,1616297.84,Infinity,16.38,1373590.16,75.1,16.861,180626.66,79.5,17.043,176295.95,21.9,19.148,3980511.7,180.4,18.501,1412816.35,62,14.939,59151.81,13.3
170710-19,10U1,18.485,476540.58,33.5,30.284,7836.6,1.1,20.457,26396.98,1.8,34.542,7232.73,1.2,18.849,127685.91,10.9,30.383,8482.89,1.9,19.015,9953.39,5.4,18.402,210860.94,6.4,17.855,1436773.76,57.6,21.136,871554.87,Infinity,16.828,707845.22,39.5,17.308,99264.51,40.1,17.491,109565.01,12.9,19.645,2240617.58,106.1,18.982,785977.97,35,15.336,32847.18,7.1
170710-19,10U2,18.982,891228.67,63.7,30.88,53157.48,10.3,21.534,26467.89,2.9,35.205,36584.83,4.4,19.363,416821.71,41.1,30.946,35974.12,7.3,19.512,42525.89,20.9,18.883,866820.1,32.2,18.352,4963656.77,194,21.667,4254234.5,Infinity,17.325,4232826.41,212.3,17.789,153312.18,69.5,17.971,1511921.32,181.4,20.142,16871012.46,820.4,19.496,6338135.01,295.8,15.784,247105.34,57.5
170710-19,10U2,19.463,887060.62,64.3,31.477,56563.13,11.4,22.064,26091.19,2.8,35.752,34663.04,4.2,19.844,451272.85,44.6,31.526,43647.45,9.4,19.976,47084.12,23.4,19.38,878813.82,33.8,18.833,5237216.1,206.1,22.164,4321514.38,Infinity,17.772,4282887.95,217.5,18.253,167682.88,67.7,18.435,1427887.99,172.2,20.639,17996424.99,874.1,19.976,6684694.49,311.9,16.215,236945.52,55.4
170710-19,QC,19.927,522323.67,38.2,31.99,36110,5.9,22.561,27496.07,1.8,36.398,32178.31,3.2,20.308,282552.83,27.6,32.123,24820.61,6,20.457,17077.23,7.6,19.827,634720.05,24.6,19.28,3041611.74,121.6,22.661,1598282.26,Infinity,18.187,3611652.9,206.6,18.7,154986.54,65.1,18.883,541088.16,63.4,21.12,7165993.63,352.1,20.44,2225537.36,101.4,16.629,163993.79,39.6
170710-19,10U4,20.374,566478.64,41.1,32.554,48324.73,10.1,23.025,23126.75,2.2,36.962,42251.68,5.8,20.772,325020.28,33.1,32.72,32038.5,5.4,20.921,35158.39,16.5,20.291,663263.93,25.1,19.728,3566891.72,144.4,23.158,1052005.77,Infinity,18.634,3338922.02,174.1,19.148,89749.37,35,19.347,1301332.7,160.5,21.6,10441755.17,515.8,20.921,2692439.91,120.4,17.043,382685.68,92.9
170710-19,10U4,20.855,875911.23,64,33.134,85016.68,19.1,23.506,29063.28,2.5,37.525,53181.87,6.8,21.252,523276.09,53,33.15,44530.83,9.1,21.385,43808.55,21.1,20.755,1065223.91,39.3,20.208,5776670.22,229.5,23.639,1160650.16,Infinity,19.098,5019417.68,223.3,19.595,150855.66,63.9,19.777,2054929.51,256.2,22.081,16938571.52,845.5,21.385,4167735.11,180.2,17.457,640982.47,156.1
,,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR,RT,Area,SNR
170711-01,QC,17.409,528115.33,52.9,28.131,38517.65,7.4,19.729,29908.71,3,32.125,29266.99,1.4,17.741,287200.65,64,28.197,25019.98,10.1,17.89,15527,8.8,17.326,574729.33,108.2,16.862,3435243.43,374.6,19.795,1526939.66,Infinity,15.901,4096127.91,493.6,16.382,186855.54,144.3,16.531,513233.58,203.9,18.453,7566150.18,801.8,17.857,2301964.03,501.6,14.559,193230.84,81.8
170711-01,QC,17.873,573084.35,57.6,28.727,38049.7,7.7,20.21,33254.47,3,32.705,39615.95,2,18.221,331073.24,72.1,28.777,25841.15,8.3,18.337,19678.08,12.3,17.807,649541.99,119.6,17.326,3402961.12,377.7,20.309,1588734.96,Infinity,16.349,4385778.9,530,16.829,176112.25,142.1,16.978,573006.96,226.2,18.934,8429894.14,889,18.337,2416934.34,530.3,14.973,214955.57,90.7
170711-01,QC,18.337,569559.01,56.7,29.274,35521.42,6.8,20.707,39037.51,4.3,33.285,22318.9,1.5,18.669,327202.3,72.5,29.307,32675.01,12.2,18.785,25805.85,16.7,18.238,674310.49,128.3,17.774,3360684.61,375.3,20.79,1551912.61,Infinity,16.779,4490708.44,531.7,17.26,134977.05,122.3,17.426,562616.46,229.7,19.398,8158442.98,854.7,18.801,2377235.61,532.4,15.371,201256.95,82.7
170711-01,QC,19.215,549957.45,55,30.467,35485.17,6.8,21.668,35700.9,4.8,34.478,14696.87,0.7,19.563,297114.63,66.3,30.451,28319.15,9.6,19.713,29507.42,21.4,19.133,615290.34,114.5,18.635,3111958.5,356.7,21.751,1370906.6,Infinity,17.608,3843263.64,465.9,18.122,113062.89,104.3,18.271,501412.53,205.8,20.326,6687253.25,708.9,19.696,2108481.67,479.5,16.15,181521.91,78.1
170711-01,QC,19.663,528209.86,54.4,31.031,29760.12,5,22.165,24703.97,3,35.008,18789.99,1,20.027,277545.74,62.7,31.081,24049.64,8,20.177,31149.94,19.8,19.58,593571.48,112.9,19.083,3282852.35,361,22.248,1302688.06,Infinity,18.039,3740134.54,458.5,18.586,119485.68,103.6,18.718,484380.21,203.4,20.79,6730775.36,716,20.16,1990928.32,468.2,16.564,163007.4,69.5
170711-01,QC,20.11,513475.72,52.6,31.528,29457.95,6.2,22.629,28855.15,4.5,35.638,17629.26,0.9,20.475,259432.62,60.3,31.611,26303.54,9.2,20.624,23767.71,15.6,20.027,601609.86,119.4,19.514,3169703.82,365.6,22.729,1296264.41,Infinity,18.453,3518378.63,443.4,18.983,147129.57,127.5,19.149,431082.35,186.2,21.254,6498494.52,716.3,20.608,2003818.88,474.8,16.962,170006.04,73.2
